title,lyrics,album,year,sentiment
Turn Your Lights Down Low (Remix),"24 ContributorsTurn Your Lights Down Low (Remix) Lyrics[Verse 1: Lauryn Hill & Bob Marley]
(Uh) Turn your lights down low
And'a pull your window curtain
Oh, let Jah moon come shining in
Into our life again
Saying ooh, it's been a long, long time (Long, long time)
I kept this message for you, girl
But it seem I was never on time
Still I wanna get through to you, girl
On time
On time (Woah)

[Chorus: Bob Marley & Lauryn Hill]
I want to give you some love
I want to give you some good, good lovin'
Oh I, oh I, oh I (Oh)
I want to give you some good, good lovin'

[Verse 2: Lauryn Hill]
Turn your lights down low
Never, never try to resist, oh no (Nah, nah, nah)
Oh, let your love come shinin' in (Nah, nah, nah)
Into our lives again
Saying, ""Ooh, I love you,"" (I love you, I love you)
And I want you to know right now (Know right now)
Ooh, I love you (Uh-huh, yeah)
And I want you to know right now
That I (Nah, nah), that I (Nah, nah, nah)
You might also like[Chorus: Lauryn Hill]
I wanna give you some love
I wanna give you some good, good lovin' (Good, good)
Oh I, oh I, oh I
I wanna give you some good, good lovin' (Yeah, uh)

[Verse 3: Lauryn Hill]
Loving you is a like a song I replay
Every three minutes and thirty seconds of every day
And every chorus was written for us to recite
Every beautiful melody of devotion every night
This potion might, this ocean might carry me
In a wave of emotion to ask you to marry me
And every word, every second, and every third
Expresses a happiness more clearly than ever heard
And when I play 'em, every chord is a poem
Telling the Lord how grateful I am cause I know him
The harmonies possess, a sensation similar to your caress
If you asking then I'm telling you it's yes
Stand in love, take my hand and love Jah bless
Right, right

[Chorus: Bob Marley, Lauryn Hill, & Both]
I want to give you some good, good loving
Turn your lights down low (Right, right now)
And-a pull your window curtains (I said right, right now)
And let Jah love come tumbling in (Right, right now)
Into our lives again (Uh, uh, I said right, right now)
Sayin', ooh, it's been a long, long time
Yeah, I got this message for you, boy
But it seems I was never on time
Still I wanna get through to you, boy (Uh, yeah)
On time (Right, right now)
On time (Uh, I said right, right now)
I want to give you some love
I want to give you some good, good lovin' (Can ya hear me?)
Oh I, oh I, oh I (Oh, yo, it's like)
I wanna give you some good, good lovin' (Oh, yo, it's like)
Good, some good, good, good, good, good, good
I want to give you some good, good lovin'
Good, good
Oh I, oh I (Yeah, yeah, right, right now)
I wanna give you some good, good lovin' (Yo, yo, right, right now)
I wanna, I wanna, I wanna
I wanna, I wanna, I wanna
Oh, oh, oh, oh, oh, oh
Yeah
[Outro: Lauryn Hill]
Please don't forget passionate
Babies in the bassinet
You call, we be ready
Ha ha, Ma steady
Yeah, yes
Baby love13Embed",,,0.39706257982120025
Judge Not,"13 ContributorsJudge Not Lyrics[Verse 1]
Don't you look at me so smug
And say I'm going bad
Who are you to judge me
And the life that I live?

[Verse 2]
I know that I'm not perfect
And that I don't claim to be
So, before you point your fingers
Be sure your hands are clean

[Chorus]
Judge not
Before you judge yourself
Judge not
If you're not ready for judgement (Woah, oh-oh)

[Verse 3]
The road of life is rocky
And you may stumble too
So, while you talk about me
Someone else is judging you

[Chorus]
Judge not
Before you judge yourself
Judge not
If you're not ready for judgement (Woah, oh-oh)
You might also like[Verse 4]
The road of life is rocky
And you may stumble too
So, while you talk about me
Someone else is judging you

[Outro]
Someone else is judging you
Someone else is judging you
Someone else is judging youEmbed",,,-0.055218855218855195
One Cup Of Coffee,"6 ContributorsOne Cup Of Coffee Lyrics[Chorus]
One cup of coffee, then I'll go;
Though I just dropped by to let you know
That I'm leaving you tomorrow;
I'll cause you no more sorrow:
One cup of coffee, then I'll go

[Verse 1]
I brought the money like the lawyer said to do
But it won't replace the heartache I caused you;
It won't take the place of lovin' you, I know
So one cup of coffee, then I'll go

[Instrumental Break]

[Bridge]
Tell the kids I came last night
And kissed them while they slept;
Make my coffee sweet and warm
Just the way you used to lie in my arms

[Verse 2]
I brought the money like the lawyer said to do
But it won't replace the 'eartache I caused you;
It won't take the place of lovin' you, I know
You might also like[Outro]
So one cup of coffee, then I'll go;
One cup of coffee, then I'll go;
One cup of coffee, then I'll goEmbed",,,0.175
She Used To Call Me Dada,"2 ContributorsShe Used To Call Me Dada LyricsA woman she loves me with all of her heart
Swear by many powers, we could never part
Since Ive left shes acting strange
Everything is changed, nothing remain the same
Call me, she used to call me bya
She used to call me, oh da
She working down, down town somewhere as a clerk
I know she had lots of potentials
Didnt have to prove no one or show her credentials
Used to call me, she used to call me
Used to call me dada

A woman she loves me with all her heart
Swear by some powers, we could never part

Since Ive left, acting strange
And everything is changed, nothing remain the same
Call me, she used to call me
She used to call me dada, yeah dada
Well, check out her home, found a work
Working down, down town somewhere, as a clerk
I know
Potential
But I heard, heard shes gone commercial
Used to call me, she used to call me
Call me, dada, dada, dada
She used to call me, she used to call me
She used to call me, dada, dada, dadaYou might also like2Embed",,,-0.014814814814814814
Roots,"4 ContributorsRoots Lyrics[Chorus]
Roots Natty roots
Dread Binghi dread
I and I are the roots
Some are the dry wood

[Verse 1]
Fe catch up the fire
Look at that
They need some dry wood
To cook up the raw food
Look at that
I got to survive
In this man maniac downpression
Got to survive
In iration

[Chorus]

[Verse 2]
Some are wolf
In  sheep's clothing
Look at that
Many are called
But only a few are chosen
Look at that
Nothing they can do
To separate I and I from the law of our father
Look at that
You see, blood is thicker than water
Look at that
You might also like[Chorus] [x2]

[Bridge]
Some are leaves
While some are branches
But remember I and I are the roots
Some are dry wood
Fe catch up the fire
Look at that

[Verse 3]
Got to survive
In this man maniac downpression
Got to survive
In iration

[Chorus] [x2]Embed",,,-0.018681318681318677
Acoustic Medley,"4 ContributorsAcoustic Medley Lyrics[GUAVA JELLY]
Baby, I really, really love you now
I think you should stop your cryin';
Here my kerchief to dry your eyes
You know that I love you, yea-eah-eah
Groovy; here I am:
Come rub it 'pon me belly
Like a guava jelly
Damsel, here I stand:
Come rub it 'pon me belly
Like-a guava jelly

[THIS TRAIN]

This train - mm - mm - mm;
This train is bound to glory - this train;
Talkin' 'bout ma: this train is bound to glory - this train:
This train is bound to glory
This train carry no un'oly;
This train - I'm a-talkin' 'bout: this train

When I was just a kid
My mommy used to sing this song
Now I've grown to be a man
Well, it still lingers deep down in my soul;
I said, it still lingers deep down in my soul
You might also likeI'm talkin' 'bout: this train is bound to glory - this train;
This train is bound to glory - this train;
This train is bound to glory
O dis 'ere train carry no un'oly
This train - I'm a-talkin' 'bout: this train

[CORNERSTONE]

The stone that the builder refuse
Will always be the head cornerstone-a;
The stone that the builder refuse
Will always be the head cornerstone

You're a builder, baby;
Here I am, a stone
Don't you pick and refuse me
'Cause the things people refuse
Are the things they should choose
Do you 'ear me? Hear what I say!

Stone that the builder refuse
Will always be the head cornerstone-a;
The stone that the builder refuse, yeah! -
Will always be the head cornerstone

You're a builder, baby;
Wo, here I am, a stone!
Don't you pick and refuse me
'Cause the t'ings people refuse
Are the things they should use;
The things people refuse
Are the things they should use
Do you 'ear me? Hear what I say!
Stone dat them builder refuse
Will always be the head cornerstone-a;
The stone that dem builder refuse
Will always be the head cornerstone

[COMMA COMMA]

Comma, comma, come back here
My-y young lady;
Comma, comma, come back here to me
My-y young lady, yeah!
Jus' while I thought
Everything was running smooth
She left me
While I was in the mood
Now I'm callin' to you
But my world is relying for you to:

Comma, comma, come back here
My-y young lady, yeah!
Comma, comma, come back here to me
My-y young lady!
Jus' while I thought
Everything was running smooth
You know I love you;
Oh now I love you. /fadeout/
[DEWDROPS]

Mm-mm-hm
I've been searchin' the whole darn day
For a little woman of mine - mine - mine - mine
Someone a-told me I could find her here
But it seem she disappear
Said, I searched the whole darn day;
Night is drawing nigh
I t'ink I'd better go home;
Try tomorrow again

But when I reached that railroad station
I missed the last train
And then it seemed like dewdrops
Gonna fall on me;
Yes, it seem like teardrops
Gonna call on me now

I said, I'd better make up my mind
What am I gonna do
Am I gonna rest up here
Or am I gonna push on through?

My mind say, ""Hey, man, ya hit the road.""
Down there I missed the track - track - track;
I'm lost! Lord, I'm lost, eh!
Love is such a heavy load!

And then: for crying out loud, come back to me!
For crying out loud, hear my plea!
For crying out loud, come back to me!
Why do you treat me so bad?
Why do you treat me so bad?
Mm - mm - mm - mm - bam, bam
Bom, bom, bome, bome

[STIR IT UP]
Let's stir it up!
Stir it up, little darlin';
Stir it up. Yaga, yaga
Little darlin', stir it up. Mm
Little darlin'

It's been a long, long time
Since I've got you on my mind, o-oh
Now you are here
It's so clear:
See what we could do
Just you and me, yea-eah!

Let's stir it up!
Little darlin', stir it up!
Oh, come on, woman!
Little darlin', come on! Stir it up. ...
Little darlin'

I'll push the wood, blaze the fire;
Satisfy your heart desire
I'll a-stir it, yeah - every minute, yeah!
All you got to do, honey, Keep it in it

Let's stir it up!
Little darlin', let's stir it up!
Little darlin', stir it up!
Oh, wo - wo - wo - wo-ah, li'l darlin'. Lead up now

[ I'M HURTING INSIDE]
When I was just a little child
'Appiness was there awhile
Then from me it slipped one day:
'Appiness, come back, I say
'Cause if you don't come - come
I go looking, yeah! -
For 'appiness
'Cause if you don't come - come
I go looking now! -
For 'appiness

Then together like school children
Then your hurt was just in vain
Lord, I'm your weary child:
'Appiness, come back. Oh, I -
'Cause if you don't come
Gonna go lookin', yeah! -
For 'appiness
And if you don't come
Gonna go lookin', yeah! -
For 'appiness
Like Jah said, I'm a-hurtin' inside;
I'm a-hurtin' insideEmbed",,,0.0011043595679012417
Lion Of Judah,"2 ContributorsLion Of Judah LyricsThe Lion of Judah shall break every chain
The Lion of Judah shall break every chain
The Lion of Judah shall break every chain, chain, chain
Give us Jah victory again and again
The Conquering Lion shall break every chain
The Conquering Lion shall break every chain
The Conquering Lion shall break every chain, chain, chain
Give us Jah victory again and again
The Lion of Judah shall break every chain
The Lion of Judah shall break every chain
The Lion of Judah shall break every chain, chain, chain
Give us Jah victory again and again
Give us Jah victory again and again
In Mount Zion
With King Alpha and Queen Omega
Father and Mother of Creation
Alleluia!You might also likeEmbed",,,0.0
Burnin’ and Lootin’ (Remix),"8 ContributorsBurnin’ and Lootin’ (Remix) Lyrics[Bob Marley]
Jah! Rastafari

[Black Thought]
Black Thought from the legendary Foundations
Sendin' this one out to the people, knah I mean?
My peoples in the streets of Illadel
The streets of New York City, know what I'm sayin'?
The streets of Jamaica to the ghettos of London
Word up, peoples in the struggle in Paris, Cuba, South Africa
Word up, worldwide, Roots crew
And yo, open your minds to this one, feel it
Feel this joint, for real
Uh yo yo yo

[Bob Marley]
This morning I woke up in a curfew
O God, I was a prisoner too, yeah!
Could not recognize the faces standing over me
They were all dressed in uniforms of brutality, ay!
How many rivers do we have to cross
Before we can talk to the boss? ay!
All that we got, it seems we have lost
We must have really paid the cost

[Hook - Bob Marley]
That's why we gonna be burnin' and a-lootin' tonight
I said we're gonna burn and a-loot
Burnin' and a-lootin' tonight
One more thing
Burnin' all pollution tonight
Oh yeah, yeah
Burnin' all illusion tonight
Oh stop them, stop them, stop them
You might also like[Bob Marley]
Give me the food and let me grow
Let the Roots Man take a blow, ay!
I said all them, all them drugs gon' make you slow
It's not the music of the ghetto

[Hook - Bob Marley]
We gonna be burnin' and a-lootin' tonight
(Said we're gonna burn and a-loot)
Burnin' and a-lootin' tonight
One more thing

[Black Thought]
Yo y'all know the time
I'm tryin' to eat in '99, I need more
Some takin' this to the streets right, they want war
The sheriff at the front door, he comin' to hunt y'all
You got these devils at the back door that wanna confront y'all
They want y'all to pass like some type of gun law
They come in the night, then block out every border you can run for
Me, I'mma rocket launcher, a militant monster
I'm self sponsor, light up the mic just like ganja
Black Thought in the flesh, no impostor power hilly
Thorough bred soldiers ain't with the same silly shit that's uncertain Rap
Inside a steel curtain
His net workin' or shoulders, backs, and necks hurtin', for real
So be supreme or just remain a mere person
Yo you can find knowledge of self or keep searchin'
Whoever in the crevices, thirsty, workin'
Beneath the surface y'all know the purpose
Keep the streets burnin' yo
[Hook - Bob Marley]
Burnin' and a-lootin' tonight
I said we're gonna burn and a-loot now
Burnin' and a-lootin' tonight
One more thing
Burnin' all pollution tonight
Oh yeah, yeah
Burnin' all illusion tonight
Oh stop them1Embed",,,0.1030927405927406
Smile Jamaica,"2 ContributorsSmile Jamaica Lyrics[Verse 1]
Feeling out, feeling down:
This feeling wouldn't leave me alone
Then up came-a one that said (hey, Dread):
""Hey, Dread, fly, Natty Dread, and smile!""

[Chorus]
You're in Jamaica: C'mon and smile!
(In Jamaica, y'all) Get it together, y'all!
(In Jamaica) Get it together, now!
In Jamaica, y'all

[Verse 2]
Soulful town, soulful people:
Said, I see you're having fun
Dancin' to the reggae rhythm
Oh, island in the sun:

[Chorus]
Oh, smile!
(In Jamaica) C'mon and smile!
(In Jamaica, y'all) Get it together, right now!
(In Jamaica) Get it together, children!
(In Jamaica, y'all)

[Verse 3]
We're gonna help our people, help them right;
Oh, Lord, help us tonight!
Cast away that evil spell;
Throw some water in the well
You might also like[Chorus]
And smile!
(In Jamaica) C'mon and smile!
(In Jamaica, y'all) Get things together, right now!
(In Jamaica) Get it together, right now!
(In Jamaica, y'all)

[Verse 4]
Riddim wise (Wise)
Dub-a wise (Wise)
And other wise (Wise)
Can't criticize our smile

[Chorus]
(In Jamaica) You're gonna smile!
(In Jamaica, y'all) Get it together, right now!
(In Jamaica) Get things together, right yow!
(In Jamaica, y'all)

[Verse 5]
Help my people, help them right!
O Lord, help us tonight!
Cast away evil spell;
Throw some water in the well

[Chorus]
And smile!
(In Jamaica) You're gonna smile!
(In Jamaica, y'all) Get it together, children!
(In Jamaica) Get things together right, ya!
(In Jamaica, y'all)
[Outro]
Soulful town, soulful people
Said, I know, I know that you're having fun!Embed",,,0.3344948743386244
Nice Time,"5 ContributorsNice Time LyricsLong time we no have no nice time
Do you, do you, do yah, think about that!
Long time we no have no nice time
Do you, do you, do yah, think about that!
This is my heart
To rock you steady
I'll give you love
The Time you're ready
This little heart in me
Just won't let me be
I'm rockin'
Won't you rock with me?
Long time we no have no nice time
Do you, do you, do yah, think about that!
This is my heart
To rock you steady
I'll give you love
The time you're you ready
This little heart in me
Just won't let me be
I'm just a rockin` now
Won't you a rock wid me?
A long - long - long - long time we no have no nice time
Thank ya, thank ya, babe!You might also likeEmbed",,,-0.020370370370370375
